id t0 tc mz1 mz2 s1 s1x s1y s1z s2 s2x s2y s2z lambda1 lambda2 z distMpc ra decl psi inc phi0 snrET_Opt snrCE_Opt type
33058 1001258443.30205 1001258474.97149 54.93688 54.159812 0.1782 0.166708 0.050818 -0.037166 0.098 0.04343 0.082581 -0.029971 0.0 0.0 1.8759 14725.4544 -0.055657 -0.790838 2.648806 1.789346 5.071561 23.459553 37.694108 3
33063 1001258588.18375 1001258651.98734 42.33161 21.663675 0.2207 -0.098148 0.059312 -0.188567 0.166 0.158288 0.037435 0.033157 0.0 0.0 0.7543 4803.868 -2.290701 0.608153 2.020634 1.908386 3.937816 72.247622 51.89957 3
33065 1001258657.38448 1001258689.04781 59.351414 52.352225 0.0416 -0.010239 -0.026072 -0.030757 0.1272 -0.002986 -0.05926 0.112513 0.0 0.0 2.0471 16382.6933 0.170509 0.706651 5.294718 1.187567 2.389331 15.762722 32.917982 3
33072 1001258871.53461 1001258887.11408 77.082082 63.075603 0.0415 0.004736 0.028634 0.029663 0.1023 -0.00717 -0.071184 0.073121 0.0 0.0 5.8811 57619.3819 -1.416971 -0.308817 0.18751 1.663327 3.590807 4.075378 13.454247 3
33074 1001258976.83274 1001258992.33933 92.068813 71.774271 0.1665 -0.11554 0.119806 0.004394 0.111 -0.045981 -0.100033 0.014147 0.0 0.0 4.3712 40711.0289 -2.415941 0.005459 2.02307 1.043319 3.946267 17.169836 14.529269 3
33075 1001258981.60325 1001259013.27757 60.218556 45.803831 0.1486 0.006156 -0.000344 0.148472 0.2371 0.009702 -0.001625 0.236896 0.0 0.0 4.4207 41256.0848 -0.489289 -0.274297 0.89019 0.969976 2.369659 7.47856 27.256586 3
33085 1001259451.23011 1001259458.57239 111.244934 100.327956 0.1043 -0.03004 -0.042363 0.090451 0.1544 0.039574 -0.065911 0.133899 0.0 0.0 2.7323 23250.5 -0.233295 -0.768559 6.094102 1.762595 5.029876 16.9672 49.908332 3
33092 1001259758.18341 1001259789.88458 53.236797 46.528711 0.0303 -0.01141 0.003369 0.027867 0.1419 -0.002045 -0.055678 0.130504 0.0 0.0 1.2286 8752.9337 -2.64355 -0.362288 5.839969 0.52181 3.658755 51.535034 102.376914 3
33108 1001260346.39418 1001260353.80263 112.242158 81.563818 0.162 0.011088 -0.01868 0.160537 0.1023 -0.00869 0.010615 0.101376 0.0 0.0 4.0708 37427.699 -0.513598 1.063949 6.239641 1.301094 5.703973 14.381649 15.944595 3
33110 1001260372.78523 1001260388.26826 87.511039 83.574265 0.0673 0.027896 0.022682 0.056891 0.1208 0.047944 -0.10747 -0.027281 0.0 0.0 1.841 14391.0297 -1.092385 -0.081669 0.330592 0.864908 4.522011 45.753915 92.732671 3
33136 1001261329.69365 1001261336.92936 128.056227 124.947809 0.1753 0.106924 -0.084808 0.110022 0.1001 -0.07244 0.02351 -0.06496 0.0 0.0 2.6136 22036.5714 0.450852 -0.407772 2.820208 1.526097 5.880155 21.200156 32.647122 3
33163 1001262090.50374 1001262097.68075 154.368204 117.169062 0.1533 0.071169 0.084436 -0.106332 0.2545 -0.193926 -0.147922 -0.072678 0.0 0.0 3.8449 34981.0676 0.692739 -0.830476 3.931115 1.90643 6.270015 21.886 26.340766 3
33167 1001262231.25248 1001262238.14896 170.188993 151.144613 0.7723 -0.325357 0.068923 -0.697022 0.7278 -0.646981 -0.003867 -0.333306 0.0 0.0 1.2646 9070.2157 0.157436 -0.621638 5.658898 0.896068 2.749232 49.70177 153.321937 3
33177 1001262858.27012 1001262873.8513 70.158586 68.200909 0.1118 -0.04789 -0.084424 0.055483 0.3023 -0.017437 0.268529 -0.137743 0.0 0.0 2.9232 25217.8201 -0.03945 -0.757926 4.333 1.896095 3.076885 15.447053 34.001603 3
33187 1001263273.53239 1001263401.38541 32.386911 15.181546 0.1547 0.04683 -0.147331 0.005707 0.0802 -0.074274 -0.030111 0.002958 0.0 0.0 1.4191 10455.2515 2.093455 0.385912 1.090073 1.34727 2.19716 9.736467 37.793437 3
33216 1001264189.90224 1001264221.56569 57.46128 53.863292 0.0645 -0.017936 -0.017677 0.059381 0.1235 0.018131 0.04468 0.113698 0.0 0.0 5.9634 58558.6105 -2.322262 -0.369556 1.166016 0.324007 3.614698 9.086627 17.962917 3
33223 1001264321.56624 1001264353.30892 51.606342 33.376234 0.1517 -0.094182 0.015122 0.117958 0.1344 -0.082677 0.017504 0.104506 0.0 0.0 4.1658 38462.6503 -3.118982 0.517891 2.734535 0.905578 0.15807 8.467006 27.120715 3
33227 1001264357.85724 1001264421.66913 36.4055 25.834628 0.2773 0.145725 -0.231837 0.043712 0.0232 0.021726 0.00194 -0.007903 0.0 0.0 3.283 28981.3922 2.804215 -0.015009 1.767678 0.812297 1.268479 8.949423 26.192913 3
33228 1001264420.19777 1001264484.00588 32.445157 31.139806 0.191 0.095511 -0.1121 -0.121623 0.1066 -0.025293 0.078206 -0.06788 0.0 0.0 3.0476 26511.483 -1.456509 -0.328845 5.206061 1.628003 4.763629 5.706595 16.693836 3
33241 1001264873.33059 1001264888.80862 96.917409 75.39276 0.1526 -0.115356 0.03543 -0.093405 0.1637 0.089876 -0.061295 0.122323 0.0 0.0 4.0435 37131.9727 0.718464 0.566415 3.558586 1.819013 4.739064 5.098765 14.939167 3
33252 1001265304.81381 1001265312.22409 101.078544 88.121219 0.29 0.147789 -0.155124 0.195436 0.1071 0.038801 0.06896 0.072176 0.0 0.0 5.3392 51481.7144 2.157704 -0.117376 3.69332 1.80891 2.667207 10.006731 18.008831 3
33253 1001265307.45401 1001265314.71646 123.82981 118.188907 0.2093 -0.17413 -0.115696 0.009979 0.0629 0.055466 -0.029512 0.002999 0.0 0.0 3.2864 29017.2663 -2.905452 -1.125916 5.871494 0.502635 1.547182 38.860565 65.910049 3
33257 1001265435.37404 1001265438.20973 194.894431 188.852231 0.0608 0.054429 -0.015669 -0.022105 0.2631 -0.057056 0.135534 -0.218167 0.0 0.0 3.5413 31723.0428 -1.725145 -0.62673 5.733024 2.518875 5.832983 32.259946 102.908735 3
33260 1001265497.96528 1001265529.71284 41.390977 41.301912 0.1535 -0.132992 0.013917 0.075376 0.1154 0.081514 -0.058833 0.056667 0.0 0.0 4.532 42482.0545 0.768255 0.902256 5.904973 1.022888 3.357709 6.441217 12.057082 3
33284 1001266392.55983 1001266456.40786 25.220942 24.537059 0.0859 0.027621 0.000791 0.081334 0.2089 0.043282 -0.051403 0.197797 0.0 0.0 2.0764 16669.9485 -1.334295 0.241118 2.763371 2.586819 3.279745 33.146355 27.60827 3
33329 1001268105.00162 1001268136.67191 57.786624 49.518493 0.1024 -0.080383 0.029403 -0.056212 0.1949 0.017295 0.044138 -0.189047 0.0 0.0 2.2247 18129.9831 -2.211461 -1.099274 1.700895 1.692568 1.791594 11.779738 24.593508 3
33332 1001268211.5197 1001268227.06511 89.131649 58.906647 0.0911 0.043923 -0.077403 0.019462 0.1341 -0.039688 -0.118964 0.04749 0.0 0.0 2.6486 22393.2943 -1.48602 -1.032267 0.660696 1.423056 0.64933 8.842192 34.603073 3
33333 1001268222.08945 1001268237.53025 101.247647 82.783124 0.2222 0.023223 0.139431 -0.171443 0.1713 0.162126 -0.026084 -0.048771 0.0 0.0 4.1205 37969.8306 2.167868 -0.880131 1.175372 0.535023 0.611588 42.939709 27.964826 3
33349 1001268794.74686 1001268801.73733 166.443342 153.15996 0.7098 -0.203807 0.115705 -0.669993 0.1604 -0.029251 -0.155437 -0.026679 0.0 0.0 4.4752 41854.8064 0.256338 -0.022329 4.641048 2.021226 1.830897 9.762652 55.080819 3
33353 1001268804.66007 1001268932.55509 20.803765 13.896527 0.2617 -0.11023 -0.10101 0.214786 0.111 0.057397 -0.026964 0.091102 0.0 0.0 1.4062 10337.4541 -2.070457 -0.56356 4.320895 2.553511 4.282467 15.299337 36.741176 3
33361 1001269170.35884 1001269234.17476 35.409607 25.53382 0.1118 0.017937 0.030607 -0.106022 0.1636 -0.047119 0.021786 -0.155145 0.0 0.0 0.6129 3731.0985 -0.600064 -0.667891 5.451537 0.688937 2.729389 61.208971 282.586865 3
33401 1001270874.34611 1001270889.97575 67.341905 54.411982 0.1875 0.03165 -0.168824 -0.075187 0.1139 0.012896 0.110882 0.022628 0.0 0.0 2.6911 22827.4933 -0.762956 0.964315 3.134308 2.335388 5.112292 42.827411 29.652167 3
33407 1001271216.64487 1001271224.04721 117.525289 77.368604 0.1118 0.057331 -0.023326 0.093104 0.1794 -0.07797 0.066479 0.14726 0.0 0.0 2.3293 19170.2888 -2.22864 -0.653578 1.940197 1.994688 3.258688 18.352904 32.787324 3
33412 1001271426.31795 1001271458.04024 47.438404 44.217743 0.1932 -0.04319 0.006699 0.188191 0.2658 -0.007427 -0.05967 0.258909 0.0 0.0 2.0156 16075.7595 0.547151 0.462909 1.721154 1.433051 3.10655 10.44439 19.504797 3
33422 1001272055.95674 1001272087.67549 46.760303 46.229281 0.0315 0.00825 0.030226 0.003254 0.1071 -0.014895 0.10548 0.011065 0.0 0.0 1.0268 7015.7876 -0.653765 1.091049 3.467382 1.440797 1.938742 55.032295 25.612905 3
33424 1001272148.25687 1001272149.45401 223.768836 166.78882 0.2746 0.01359 0.056684 0.268342 0.2473 0.043047 0.030044 0.241664 0.0 0.0 8.2455 85082.3256 -1.181587 -0.013894 2.198404 2.14082 0.791012 18.598934 19.291475 3
33433 1001272597.5339 1001272613.18613 57.980432 57.119548 0.1452 -0.054046 -0.072783 -0.113423 0.1169 0.026931 0.018405 -0.112257 0.0 0.0 1.1346 7935.5087 -0.419935 0.285063 5.608935 1.14185 0.845101 67.362791 65.412492 3
33438 1001272777.68706 1001272793.29961 71.317968 54.335824 0.1815 -0.021311 -0.001548 0.180238 0.1904 -0.021132 0.007475 0.189076 0.0 0.0 1.932 15265.5078 1.732646 0.288013 4.835657 1.593219 4.266368 15.244534 3.197132 3
33446 1001273096.39369 1001273112.00929 75.449532 50.92737 0.0368 -0.019576 0.026567 -0.016285 0.1745 0.143564 -0.066628 0.073488 0.0 0.0 1.5337 11503.4849 2.610316 -0.726784 4.71343 1.540915 2.006822 40.213246 30.417678 3
33449 1001273132.4658 1001273164.17844 49.821481 44.369971 0.1073 -0.070544 -0.051898 0.061995 0.0898 0.023152 -0.069542 0.051884 0.0 0.0 1.9262 15209.5342 0.16761 -0.501811 0.816125 1.47978 3.814507 13.362552 44.921468 3
33462 1001273650.04219 1001273657.29524 140.074829 103.620328 0.0951 0.069058 -0.036906 0.053972 0.1469 -0.083382 -0.087617 0.083369 0.0 0.0 3.1921 28024.3572 -1.641722 -1.035001 1.369954 0.86361 1.678126 21.954507 63.281572 3
33471 1001273754.28073 1001273882.14889 22.294196 21.164418 0.1752 -0.06781 0.161092 0.012096 0.1615 -0.082593 0.101131 -0.095043 0.0 0.0 1.7522 13545.68 1.961237 -1.0636 5.192603 2.15993 1.066182 26.806889 26.54322 3
33472 1001273801.34607 1001273929.23987 18.379796 16.512683 0.1341 0.017098 0.129094 0.032019 0.1887 0.166126 0.07733 0.045055 0.0 0.0 1.2778 9187.9555 0.929146 0.819902 1.521023 2.480636 0.259734 23.743437 29.253949 3
33483 1001274123.99623 1001274131.21388 150.840839 103.910202 0.1773 -0.001676 0.00825 0.1771 0.1764 0.002109 -0.008106 0.176201 0.0 0.0 4.6265 43524.9285 0.88068 -0.91773 1.690082 1.923562 4.51906 14.141019 38.226717 3
33496 1001274557.91932 1001274621.71436 48.848008 18.868156 0.0724 0.015494 -0.067995 0.019451 0.2107 -0.042016 0.205011 0.02449 0.0 0.0 2.0433 16345.62 2.349311 0.220025 5.807953 1.045214 0.681824 16.66705 31.029593 3
33503 1001274803.50213 1001274867.29912 33.944871 33.107812 0.2592 0.071604 0.185008 0.166822 0.1787 -0.043773 -0.129576 0.115012 0.0 0.0 4.4284 41340.7723 1.204906 -1.018463 4.998952 1.663909 1.168442 6.036971 13.385921 3
33508 1001274991.79134 1001275007.30245 79.818686 79.315627 0.0839 0.059527 0.016706 -0.056715 0.191 -0.081427 -0.120841 -0.123484 0.0 0.0 1.3978 10261.464 2.786721 0.279801 2.540702 1.51087 2.807313 26.369209 51.735554 3
33518 1001275374.48928 1001275381.548 171.258348 138.523902 0.1433 0.001391 0.142379 -0.016159 0.1421 -0.052184 0.11945 -0.056578 0.0 0.0 5.306 51108.0096 -2.595708 0.242812 1.306612 1.790253 2.975476 5.220901 35.065204 3
33519 1001275419.8645 1001275422.52758 242.121492 203.427853 0.1648 0.133958 0.053796 0.0795 0.0758 0.066094 0.006334 0.036566 0.0 0.0 5.3967 52129.6039 -1.194526 0.862824 4.88019 2.580343 5.637876 66.01335 65.334775 3
33520 1001275414.25454 1001275445.94302 58.832278 43.785995 0.139 0.096286 -0.091092 0.04186 0.1515 0.028742 0.137703 0.05625 0.0 0.0 2.9825 25833.4515 -0.269729 0.482594 3.075525 2.959195 2.984925 43.589622 40.140145 3
33537 1001275927.08086 1001276183.00896 12.192196 11.657558 0.0921 0.032539 0.051301 0.069223 0.0636 0.033442 0.025328 0.047802 0.0 0.0 0.8622 5659.2843 2.855552 0.114563 2.543493 1.863783 2.853863 19.251114 35.939716 3
33552 1001276442.71815 1001276474.4535 43.320678 42.30948 0.1969 0.140622 -0.075623 -0.115222 0.2763 -0.087154 -0.044028 0.258471 0.0 0.0 4.1382 38161.6391 -1.39456 0.255819 5.339096 1.594758 2.912108 7.273625 7.673375 3
33556 1001276628.57653 1001276629.9696 238.609496 176.036933 0.7235 0.344131 0.605128 -0.197093 0.7136 0.252638 -0.251341 0.618245 0.0 0.0 1.8196 14186.568 2.970038 -1.120654 5.687861 0.69139 3.422594 144.76704 121.658075 3
33560 1001276806.80499 1001276870.61871 32.092636 28.077029 0.1528 0.01539 -0.150349 0.022501 0.2387 -0.009851 0.235764 -0.036002 0.0 0.0 1.8263 14251.487 1.587166 -0.648108 3.389654 2.139203 0.03716 26.39943 38.149281 3
33577 1001277833.43879 1001277849.00654 72.238845 69.16789 0.2557 0.157887 -0.060883 0.191696 0.1776 0.163267 0.043322 0.054854 0.0 0.0 2.3836 19713.5647 2.25104 -0.33035 3.579288 1.321546 3.77312 27.572254 7.577654 3
33578 1001277847.45086 1001277879.11883 58.195572 51.263493 0.1426 0.003133 0.002033 -0.142551 0.1719 0.024302 0.135051 -0.103539 0.0 0.0 2.3095 18971.7321 0.600172 0.812493 6.17867 2.799597 6.008831 46.913707 37.172057 3
33598 1001278266.89043 1001278298.57244 56.05839 49.027234 0.1142 0.092174 -0.045899 0.049385 0.2443 0.216921 -0.006148 0.112205 0.0 0.0 3.1947 28051.675 -2.100851 0.287255 2.382702 2.629724 0.845293 15.5932 53.297452 3
33609 1001278731.58046 1001278733.78603 346.498792 248.500036 0.2061 -0.014648 0.094445 0.1826 0.1905 0.086851 -0.016154 0.168779 0.0 0.0 7.9366 81440.3887 -0.796727 0.466533 1.970551 0.579827 2.328633 43.820568 25.692924 3
33634 1001279416.54251 1001279432.1741 62.12016 58.805366 0.2939 -0.126548 -0.257806 0.062443 0.1123 0.109527 0.006774 0.02386 0.0 0.0 1.5776 11909.4858 2.169921 -0.55606 1.027437 2.516255 5.213018 91.106288 54.613138 3
33641 1001279863.03763 1001279894.69461 58.307964 53.924673 0.0709 -0.009315 0.06397 -0.029117 0.1681 0.152744 -0.012683 -0.069036 0.0 0.0 2.089 16792.3066 -0.403291 0.367304 3.275342 2.006928 4.31607 37.603058 24.438263 3
33647 1001280144.96932 1001280146.01632 175.030717 168.075886 0.1877 0.058296 0.001396 0.178412 0.1558 -0.035143 0.033284 0.148091 0.0 0.0 3.8331 34853.743 -0.647915 0.430864 5.811037 0.506326 2.038028 76.010509 46.40511 3
33662 1001280857.38712 1001280872.82792 97.097771 85.839414 0.1804 -0.038014 -0.165004 -0.062232 0.2445 -0.166558 0.169707 0.056905 0.0 0.0 1.9439 15380.4492 -2.325325 -0.686558 3.334008 1.354793 1.222146 31.333904 23.717801 3
33694 1001282243.95458 1001282246.44908 278.52557 217.587319 0.1783 0.020617 -0.027043 0.175027 0.1174 -0.022318 0.001804 0.115245 0.0 0.0 8.5845 89092.2155 -1.429488 -0.314421 2.757272 1.523616 4.960055 5.409982 12.763379 3
33706 1001282580.03692 1001282595.67046 65.498858 55.304817 0.2417 -0.233328 -0.056278 -0.028455 0.1273 0.086431 0.092977 -0.009501 0.0 0.0 2.4663 20544.0383 -1.010227 0.416516 2.390522 1.683549 2.925822 18.648081 16.99347 3
33714 1001282803.05078 1001282834.8147 43.265944 34.186857 0.17 0.000367 0.106616 0.132412 0.1249 -0.049941 0.103028 0.049912 0.0 0.0 1.5787 11918.7616 -0.001137 0.534394 1.804493 1.422775 4.289785 29.726039 17.440069 3
33717 1001283094.02945 1001283101.42581 110.002147 90.652894 0.0881 0.049926 0.043444 -0.058152 0.1199 -0.03361 0.085672 0.076856 0.0 0.0 3.8708 35260.724 3.037342 -0.023283 3.407795 2.937288 4.527176 39.790226 62.016364 3
33746 1001284187.91849 1001284190.72549 197.272824 195.145686 0.2003 0.06608 -0.077405 -0.172516 0.1791 0.019054 0.17158 -0.047686 0.0 0.0 4.6982 44319.9613 -0.496438 -0.125077 0.312499 1.972472 3.030911 24.985596 31.613085 3
33759 1001284689.48933 1001284691.99348 251.425328 240.127337 0.1753 -0.058588 0.041229 0.159993 0.1913 0.06662 -0.040911 0.174596 0.0 0.0 5.2111 50042.4843 -0.201504 0.640336 2.728172 0.978566 1.623029 53.27931 23.871171 3
33781 1001285456.71532 1001285488.48425 40.98333 34.940453 0.2109 0.172585 -0.106593 -0.057716 0.1688 0.009465 -0.16208 -0.046195 0.0 0.0 2.8821 24792.2757 -1.981834 0.069029 1.201944 1.213304 2.467109 7.943504 24.593593 3
33788 1001285626.15751 1001285633.40373 133.636543 113.732768 0.2383 -0.089454 -0.123838 -0.182891 0.2211 0.121416 0.144331 0.115377 0.0 0.0 4.5484 42661.929 1.922385 1.117529 0.52996 2.195199 5.906912 16.993216 31.199298 3
33796 1001285837.84668 1001285853.4862 60.810643 58.721336 0.1749 0.122543 0.120634 0.031948 0.0305 -0.024799 0.016859 0.005571 0.0 0.0 2.0236 16154.6015 -2.848993 0.079433 1.307728 0.400075 3.835804 54.196183 76.535317 3
33816 1001286644.53448 1001286651.90374 111.913731 97.573523 0.1954 0.064352 -0.12057 0.139653 0.2143 0.110172 -0.158035 -0.093869 0.0 0.0 4.085 37583.2802 -2.845629 1.191568 1.412203 1.168474 2.933665 13.908066 57.93999 3
33821 1001286797.04198 1001286804.33031 148.216239 89.302772 0.0524 -0.041289 -0.014938 -0.028598 0.1343 0.128017 0.023083 0.033395 0.0 0.0 3.1951 28056.9288 2.898925 -0.866709 6.110648 2.205142 3.888831 41.238854 42.489534 3
33825 1001286876.99037 1001286884.18849 142.952804 120.488008 0.1511 0.079195 -0.092901 0.089044 0.1469 0.02059 0.116883 0.086569 0.0 0.0 3.2235 28354.4951 -2.809157 1.438107 1.595327 0.280558 3.019727 47.277553 124.200241 3
33828 1001287059.22989 1001287090.97244 46.003319 39.172433 0.1741 0.045468 0.006643 0.167926 0.0858 0.006727 0.021624 0.082758 0.0 0.0 1.7139 13183.6361 0.821441 -0.404593 2.879347 2.773722 4.325572 33.089038 124.658236 3
33830 1001287098.30973 1001287105.40275 178.454522 116.821718 0.1161 0.033484 -0.028628 0.107417 0.129 -0.00997 0.047923 0.119352 0.0 0.0 4.6575 43869.1032 1.44731 -0.828307 1.1759 0.986275 2.821331 14.380201 67.832929 3
33837 1001287240.98259 1001287248.30535 121.000806 104.222524 0.1348 0.008362 -0.034247 0.130109 0.1687 -0.03837 0.021776 0.162829 0.0 0.0 5.2004 49921.2436 -1.4433 -0.880067 1.236452 1.282524 5.703526 10.301806 12.902206 3
33858 1001288010.08981 1001288025.70407 71.796222 50.823338 0.7095 -0.236689 0.654605 0.137336 0.1205 -0.085387 -0.001044 -0.085019 0.0 0.0 0.7446 4727.6717 -0.868879 0.195353 4.770819 1.959038 4.650932 71.478741 112.589871 3
