distMpc z
22065.0806 2.6164
63552.4518 6.3994
35845.7037 3.9249
2551.5816 0.4466
33901.6342 3.7447
12532.6656 1.6445
9061.3743 1.2635
11149.4132 1.4952
20481.5366 2.46
35265.045 3.8712
27437.8398 3.1362
34767.4522 3.8251
147524.4271 13.4072
26953.245 3.0899
61724.4281 6.2402
33535.1977 3.7106
20508.7518 2.4628
5804.7781 0.8802
26954.2905 3.0899
10624.1969 1.4378
5981.1827 0.902
25394.1108 2.9402
22077.3003 2.6176
13704.983 1.769
16623.9765 2.0718
15961.0081 2.0038
21181.6379 2.5293
73466.6262 7.2557
25908.3297 2.9897
42695.0438 4.5514
10716.1334 1.4479
40076.8867 4.3133
7410.296 1.0734
17241.7573 2.1347
32434.4768 3.608
22280.0781 2.6374
12857.9467 1.6792
14875.3259 1.8915
17244.7071 2.1351
21912.4117 2.6014
19545.2494 2.3668
7680.1773 1.105
24156.2688 2.8205
17164.1065 2.1269
13593.0604 1.7571
8248.849 1.1708
57970.2769 5.9119
153163.2601 13.8641
19742.6397 2.3866
18498.0041 2.2618
86109.0159 8.3324
22787.6024 2.6871
12161.2866 1.6047
48709.4153 5.0922
16356.3505 2.0444
9572.2769 1.3211
93340.0693 8.9421
51981.9246 5.3835
17271.2586 2.1378
15348.5614 1.9405
13070.5302 1.7019
51630.3735 5.3524
31950.3668 3.5627
15485.8478 1.9547
30344.1799 3.4118
25639.1073 2.9638
25757.5619 2.9752
25747.1684 2.9741
8017.5155 1.1442
14310.7187 1.8325
9450.9794 1.3075
25897.9283 2.9886
50088.5189 5.2153
22218.9126 2.6315
12780.9559 1.671
28525.0099 3.2397
9498.2165 1.3128
30955.0237 3.4693
29191.4395 3.3028
7297.2707 1.06
35116.0044 3.8575
7726.4818 1.1103
12219.9489 1.6111
53454.98 5.5141
31064.6006 3.4796
54728.1826 5.6265
24160.3917 2.8209
32201.3964 3.5861
20397.9066 2.4518
10242.4819 1.3957
20308.2843 2.4428
23218.7128 2.7292
29474.6136 3.3296
34026.3941 3.7563
49714.756 5.1819
32063.5679 3.5732
8740.6372 1.2271
36521.8074 3.9874
7041.8996 1.0298
55053.4734 5.6552
12195.7334 1.6084
33759.7319 3.7315
19709.5548 2.3832
36082.8235 3.9468
494.3804 0.1037
28035.9143 3.1932
37254.797 4.0549
31194.4515 3.4918
83201.8697 8.0861
7147.3829 1.0424
22233.1825 2.6328
6533.3321 0.969
22172.0345 2.6269
33209.9933 3.6803
12084.0733 1.5964
26431.1684 3.0398
68866.9029 6.8598
21694.8553 2.58
108778.2608 10.2309
27148.8348 3.1086
20789.2595 2.4905
25813.6966 2.9806
30839.1151 3.4583
37279.8023 4.0572
5133.3181 0.7964
17693.9351 2.1806
62050.1547 6.2687
19803.8173 2.3927
29341.4374 3.3171
33683.4348 3.7245
26087.3182 3.0069
28234.58 3.2121
34474.2516 3.798
37536.4893 4.0808
29587.7662 3.3403
7700.7504 1.1074
42993.2034 4.5784
24548.3543 2.8584
8798.6341 1.2337
10072.8249 1.3768
21212.0185 2.5324
1073.2812 0.2107
18162.6746 2.2281
17180.8118 2.1286
30706.2576 3.4459
36685.6342 4.0024
37975.2782 4.1211
10459.7868 1.4197
21220.121 2.5332
14646.771 1.8677
23149.0065 2.7224
4596.1172 0.7276
30984.807 3.472
26673.2497 3.0631
38611.0731 4.1794
8926.2996 1.2483
56149.7696 5.7519
23432.1056 2.75
7054.5412 1.0313
22815.2182 2.6898
11321.1549 1.5139
117736.0605 10.9718
17735.3965 2.1848
1525.7185 0.2874
35328.7877 3.8771
6736.5153 0.9935
17175.8982 2.128
65455.8669 6.5648
74790.6073 7.3692
2635.9913 0.459
33202.4848 3.6797
20833.7048 2.4949
8809.1866 1.2349
18906.9411 2.303
21777.1665 2.588
11431.5988 1.5259
22554.5826 2.6644
8524.2244 1.2025
16133.1818 2.0215
34767.4522 3.8251
81748.6444 7.9627
9713.5445 1.3369
5468.096 0.8385
21175.5624 2.5288
31189.1285 3.4912
18811.3081 2.2934
82186.4956 8.0
16958.9272 2.1059
34948.6918 3.842
13365.8781 1.7331
52987.2114 5.4726
13482.2321 1.7454
45119.8721 4.7703
51279.0685 5.3212
35547.1268 3.8973
39915.7862 4.2987
11118.2358 1.4918
8422.9403 1.1908
6564.8933 0.9728
17093.3814 2.1197
47364.5341 4.9719
8313.183 1.1783
15989.1981 2.0067
29979.4522 3.3773
10284.0698 1.4002
19958.3842 2.408
11854.783 1.5717
123097.3839 11.4132
32516.8514 3.6157
57323.3365 5.8551
21199.8655 2.5311
28359.756 3.2239
11066.0016 1.4862
15251.0288 1.9304
55765.933 5.718
21313.3307 2.5423
8976.578 1.2539
25007.5182 2.9028
50459.2007 5.2482
20966.1085 2.508
37731.3138 4.0987
22806.0124 2.689
29427.0421 3.3251
4711.3779 0.7425
25123.5185 2.9141
39884.0131 4.2957
31515.1016 3.5219
106953.7585 10.0793
8052.0926 1.1482
12371.943 1.6274
52409.2973 5.4215
36016.7582 3.9407
15306.0602 1.9362
5597.2799 0.8546
19208.2376 2.3331
15944.4864 2.0021
1204.6487 0.2336
36666.1008 4.0007
29019.3767 3.2866
18492.0437 2.2612
16091.3286 2.0171
18130.9736 2.2248
12964.1674 1.6905
82018.1576 7.9856
13510.6357 1.7485
8120.4652 1.1561
3490.2652 0.58
44161.4948 4.684
17140.5266 2.1244
54979.7842 5.6487
16310.5096 2.0396
15868.7144 1.9943
20268.0226 2.4388
23502.952 2.7569
6030.9653 0.9081
11951.2366 1.5821
24097.528 2.8148
5319.6424 0.8198
23779.4212 2.7839
12098.9514 1.598
90673.7021 8.7178
17112.0407 2.1216
13276.123 1.7236
26342.5457 3.0314
24356.3349 2.8399
17044.2922 2.1147
63917.0579 6.4311
15219.1825 1.9271
14317.4086 1.8333
14581.5714 1.8608
21549.6448 2.5657
30990.1258 3.4726
44322.1781 4.6985
35780.771 3.919
69485.8675 6.9132
11693.704 1.5543
28560.8132 3.2431
7796.898 1.1185
26480.1879 3.0446
42734.7853 4.5549
25527.9906 2.9531
29360.458 3.3188
23600.5407 2.7664
24550.4201 2.8586
13783.796 1.7772
43447.5022 4.6194
56467.9396 5.7798
2470.4705 0.4345
11641.9417 1.5488
22551.5187 2.6641
13979.7147 1.7978
35014.5263 3.8481
12888.9521 1.6825
5660.8967 0.8625
5627.8618 0.8583
12275.8614 1.6171
38256.4941 4.1468
26458.2841 3.0425
36816.9735 4.0145
36751.8399 4.0085
17119.8982 2.1223
3147.5271 0.5323
60317.9322 6.1174
11432.5199 1.526
19235.2078 2.3359
120709.6354 11.2169
24383.1644 2.8424
7040.2143 1.0296
17981.4937 2.2098
13761.9491 1.775
16355.3749 2.0442
13808.4993 1.7798
39848.9564 4.2926
9791.4893 1.3456
25375.4372 2.9383
30741.3252 3.4491
29328.7578 3.3159
30317.6554 3.4093
15405.5801 1.9465
14296.3849 1.8311
28788.3999 3.2647
2800.3555 0.4829
8993.3489 1.2558
23647.8134 2.771
23658.0918 2.7721
27229.424 3.1162
15307.0259 1.9363
17215.2126 2.1321
12249.7636 1.6142
87375.812 8.4396
12399.9513 1.6303
56771.5043 5.8065
73415.3435 7.2512
15412.3472 1.9471
17256.507 2.1362
20863.0056 2.4979
87216.0445 8.4261
50231.1416 5.2279
7273.5192 1.0573
11155.8339 1.4959
33443.9308 3.7022
42819.8015 4.5626
8512.8623 1.2011
20067.8875 2.419
74114.9334 7.3113
19167.2933 2.3291
23346.9224 2.7418
16734.5369 2.0831
32619.5873 3.6252
27408.5028 3.1334
6438.0048 0.9576
20241.8585 2.4362
20528.9145 2.4647
19976.4615 2.4099
38070.0805 4.1297
24500.8472 2.8538
12819.4418 1.6751
22317.8082 2.6412
17190.6395 2.1296
11742.7289 1.5596
24392.4524 2.8434
135401.8501 12.4209
77220.0805 7.577
73800.0432 7.2843
99392.6337 9.4492
10521.5016 1.4264
21825.9636 2.5928
14431.2118 1.8452
32526.4813 3.6166
34831.0893 3.831
73773.2249 7.282
13846.5181 1.7838
44406.4235 4.7061
18679.9266 2.2801
84131.024 8.1649
19162.3009 2.3285
7151.6086 1.0429
17566.6786 2.1677
30400.4214 3.4171
32652.7707 3.6284
16637.6683 2.0732
13822.7544 1.7813
54262.6878 5.5854
8418.5797 1.1904
101368.2653 9.6143
45307.5907 4.7873
9914.455 1.3593
41163.7204 4.4123
22692.5159 2.6778
9625.8789 1.3271
34165.1992 3.7692
30266.7361 3.4045
13386.6775 1.7353
12762.1891 1.669
37235.2289 4.053
64684.8746 6.4978
72760.6116 7.1951
11175.0998 1.4981
25042.7252 2.9062
16703.2167 2.0798
30628.7013 3.4386
12192.0086 1.608
39005.3609 4.2154
34001.6529 3.754
29807.8792 3.3611
8899.8582 1.2452
7824.4107 1.1218
14726.4143 1.876
13475.6059 1.7448
88250.8335 8.5135
18086.4078 2.2203
37041.7863 4.0352
28978.2271 3.2826
24654.7726 2.8687
35621.7438 3.9043
118634.817 11.0459
26775.5928 3.0728
13904.5288 1.7899
65835.3418 6.5976
21425.8648 2.5535
20664.0755 2.4781
26492.7054 3.0457
18681.9162 2.2803
40410.2763 4.3438
10357.3725 1.4083
51910.9186 5.3773
19298.1591 2.3422
43551.4781 4.6288
11066.0016 1.4862
22322.9075 2.6416
14308.8074 1.8323
11568.9861 1.5409
8117.0006 1.1557
6325.6362 0.9439
36049.2476 3.9438
4775.0695 0.7507
9632.136 1.3277
8745.0285 1.2276
18942.8215 2.3066
29403.7884 3.323
50893.1444 5.2869
11055.0104 1.4849
25082.0818 2.9101
35242.3602 3.8691
15350.4937 1.9407
3862.8474 0.6308
29512.6777 3.3333
24846.0635 2.8872
15373.6843 1.9431
6231.7547 0.9325
48903.143 5.1095
24275.8698 2.8321
11234.7686 1.5046
39942.0834 4.3011
51708.0993 5.3593
27195.9287 3.113
44759.111 4.7378
67743.896 6.7629
21053.0931 2.5166
100839.9234 9.5701
20327.4125 2.4447
97862.2256 9.3212
20902.419 2.5017
3054.0799 0.5192
20947.9088 2.5063
12559.7979 1.6475
23255.6275 2.7329
33664.0952 3.7226
17770.9461 2.1885
13837.9624 1.783
39303.8336 4.2428
33229.3019 3.6822
12366.3426 1.6267
59758.7381 6.0686
22934.9385 2.7016
37288.5002 4.0579
27315.2794 3.1244
54283.066 5.5873
16407.0906 2.0495
9638.3938 1.3284
24176.8841 2.8224
39482.1644 4.2591
46139.4387 4.862
12561.6694 1.6477
18739.629 2.2862
6060.3848 0.9116
65677.2982 6.5839
7838.174 1.1234
63321.3699 6.3793
3175.9664 0.5363
3250.8859 0.5468
24020.2662 2.8072
15278.058 1.9332
38465.9236 4.1661
73331.4334 7.244
74194.2583 7.3181
15281.9199 1.9337
12865.4621 1.6801
91195.0503 8.7616
44384.252 4.704
22343.3064 2.6437
39065.4721 4.221
22447.3799 2.6538
81975.7836 7.9821
18236.0138 2.2355
59935.9326 6.0841
31719.8425 3.541
11293.5725 1.511
11739.0277 1.5593
22929.8205 2.701
14466.6248 1.8489
79742.1304 7.792
58345.3288 5.9447
12312.2272 1.6209
15934.769 2.0011
8648.5165 1.2167
16082.5707 2.0162
37839.1153 4.1086
13008.3896 1.6952
22740.5636 2.6825
101932.7957 9.6614
36580.3847 3.9928
28769.4258 3.2628
43569.1788 4.6304
16913.8174 2.1014
49692.317 5.1799
14607.454 1.8636
28291.3739 3.2174
28397.638 3.2275
17256.507 2.1362
44188.0863 4.6864
16645.493 2.0739
66309.6881 6.6387
21785.2983 2.5888
4609.2367 0.7292
15327.3085 1.9384
28784.1833 3.2643
18325.2678 2.2445
4021.8013 0.6521
18024.0425 2.214
7715.3295 1.1091
11700.177 1.5551
25210.5645 2.9224
14105.4851 1.8111
42014.5523 4.4897
53146.4769 5.4867
40672.5978 4.3677
45545.4136 4.8087
37198.2703 4.0496
34927.1099 3.8399
24793.31 2.8822
25708.7168 2.9705
33711.3722 3.7271
15596.199 1.9662
11873.3216 1.5737
42922.508 4.572
75851.3254 7.46
20256.9526 2.4377
37178.7057 4.0479
31719.8425 3.541
28276.6482 3.2161
54039.7103 5.5658
13496.4327 1.747
15325.3767 1.9382
13891.2114 1.7886
24152.146 2.8201
24159.361 2.8207
34628.3612 3.8123
35923.6409 3.9322
31910.8646 3.5589
17210.2976 2.1315
50186.2166 5.224
21112.7973 2.5225
32317.9114 3.597
10627.8354 1.4382
6206.2749 0.9294
23423.8934 2.7492
34334.2221 3.7849
7741.0702 1.112
5186.2976 0.8031
10502.4358 1.4244
39419.793 4.2534
63015.6846 6.3528
16527.2043 2.0619
16731.6003 2.0827
25453.2558 2.9459
11845.5156 1.5708
6565.7243 0.9729
42706.0827 4.5523
27416.8844 3.1341
17589.3579 2.17
20084.9735 2.4207
23468.0386 2.7536
13591.1647 1.757
14800.3606 1.8837
7167.6709 1.0448
6053.8446 0.9109
19164.2978 2.3287
16073.8135 2.0154
20159.372 2.428
33548.0848 3.7119
23636.5079 2.77
28295.5815 3.2178
17213.2466 2.1319
77090.13 7.5659
89770.5537 8.6417
51299.3294 5.3229
41758.991 4.4665
15348.5614 1.9405
18700.8193 2.2822
19292.1625 2.3415
10106.1752 1.3805
12613.1549 1.6531
40914.2318 4.3896
16547.7247 2.064
23192.0571 2.7266
41537.7174 4.4463
59955.37 6.0857
41418.8778 4.4356
23087.5243 2.7165
51604.4676 5.3501
63557.0512 6.3998
21348.8056 2.5459
111523.7653 10.4584
17670.2493 2.1782
19248.1954 2.3371
19867.0288 2.399
16067.0029 2.0147
1757.4061 0.325
4671.0832 0.7372
10362.806 1.4089
62417.3688 6.3007
28289.2702 3.2172
71997.0508 7.1295
17864.8075 2.198
65027.0464 6.5275
57495.2522 5.8701
10131.4262 1.3834
46083.7835 4.8571
29955.0857 3.375
15781.3536 1.9852
17241.7573 2.1347
16900.0919 2.1
21136.0781 2.5248
52568.3848 5.4356
22637.329 2.6724
12261.8793 1.6156
21710.0949 2.5814
28377.6439 3.2256
13207.2198 1.7164
8133.4597 1.1576
12721.8559 1.6647
12236.7182 1.6128
24295.4671 2.834
36419.8652 3.9779
86321.8115 8.3505
7858.8277 1.1258
56563.4256 5.7882
22072.2086 2.617
26715.0163 3.0671
21241.3922 2.5353
17432.6634 2.1542
7518.5362 1.086
7499.7642 1.0838
33294.7463 3.6883
25218.8566 2.9232
3875.4823 0.6324
24764.3535 2.8794
67025.8532 6.7008
13757.2004 1.7745
9279.3274 1.2881
39218.5295 4.235
27960.2785 3.186
51549.2812 5.3452
3710.4655 0.6101
16855.0056 2.0953
36929.9033 4.0249
5349.902 0.8236
5610.957 0.8562
87792.5086 8.4748
44288.9281 4.6955
12233.923 1.6125
21624.772 2.573
18610.3084 2.2731
15692.1275 1.9761
12051.5381 1.593
8156.8597 1.1603
9505.3503 1.3135
22540.2849 2.6629
27788.0933 3.1696
55234.9043 5.6712
24640.3045 2.8674
20703.4365 2.4821
21709.0789 2.5814
35130.0413 3.8588
24798.4812 2.8826
75241.3643 7.4078
10754.4049 1.4521
11756.6102 1.5612
67263.9648 6.7214
13272.3459 1.7232
5198.9663 0.8046
22900.1393 2.6982
13686.0027 1.767
19459.1674 2.3582
15717.3357 1.9787
6220.245 0.9312
8271.4421 1.1735
9883.0143 1.3558
32311.4964 3.5964
92292.0063 8.8539
12418.6293 1.6323
33833.8993 3.7384
15136.2376 1.9185
15721.2145 1.979
32441.9644 3.6086
16274.4358 2.036
33266.8501 3.6856
25443.9159 2.9449
14544.1981 1.857
111279.879 10.4383
24373.8768 2.8415
64196.6858 6.4554
49423.1323 5.1559
28921.2626 3.2772
3970.9036 0.6452
10685.1691 1.4445
26263.3389 3.0238
5073.3614 0.7887
29374.196 3.3201
34828.9319 3.8308
29134.4232 3.2974
5072.5735 0.7886
31223.1979 3.4945
51878.2366 5.3743
73267.3413 7.2386
51245.3022 5.3182
42929.1352 4.5725
29781.4127 3.3586
42333.1419 4.5186
22247.4536 2.6343
6989.6948 1.0236
10891.2813 1.467
5287.0344 0.8157
14445.5667 1.8466
20175.4632 2.4297
17840.1001 2.1955
9406.4552 1.3025
2189.1995 0.3922
5521.7794 0.8451
2900.4267 0.4973
66886.0286 6.6886
17312.5728 2.142
11689.0808 1.5538
28300.841 3.2184
10025.9874 1.3717
17151.3335 2.1256
29600.4596 3.3415
12825.0755 1.6758
151048.2078 13.6928
15676.6178 1.9745
21004.5374 2.5118
29246.3573 3.3081
14594.0325 1.8621
28175.6977 3.2064
39501.8629 4.2608
17542.0322 2.1652
24959.8956 2.8982
32995.544 3.6604
16686.5813 2.0781
28289.2702 3.2172
42466.6091 4.5306
25485.4298 2.9489
48903.143 5.1095
26290.4325 3.0263
41906.5787 4.4798
14013.998 1.8014
20058.8427 2.4181
23386.9431 2.7456
24963.0011 2.8986
6584.011 0.9751
22083.4105 2.6181
30451.3681 3.4219
13013.0955 1.6958
35841.3744 3.9245
13612.968 1.7592
16219.8605 2.0303
7308.3033 1.0614
29875.6466 3.3676
32128.7337 3.5793
18439.4063 2.2559
7291.3314 1.0594
7062.9715 1.0324
2731.3191 0.4728
5387.378 0.8284
24777.797 2.8807
86266.2438 8.3458
7084.8995 1.035
22230.1245 2.6326
16325.1375 2.0412
10771.7259 1.454
24606.2053 2.8641
15534.2327 1.9598
5269.5548 0.8135
137904.2801 12.625
20795.3194 2.4912
13848.4195 1.784
9732.3485 1.339
23578.9638 2.7643
23750.6237 2.7811
5136.4778 0.7967
29618.443 3.3432
14054.012 1.8056
15279.0234 1.9333
42978.8424 4.577
5821.8019 0.8823
89217.8885 8.5951
54378.1746 5.5957
7304.0596 1.0609
17596.2611 2.1707
9049.8829 1.2623
36890.8077 4.0213
10342.8857 1.4067
17506.5502 2.1616
7748.7956 1.113
9431.3841 1.3053
18302.4524 2.2422
65909.1848 6.604
12417.6953 1.6322
15134.3095 1.9183
69645.9083 6.9271
26067.5384 3.005
10699.7386 1.4461
24349.1123 2.8392
6064.4732 0.9122
76633.7034 7.5268
96388.6763 9.1979
